도로명,도로폭,도로길이,교차로수,위도,경도
창경궁로35길,6,401,0,37.587078999999996,127.0024179
율곡로14길,2,31,0,37.5754809,127.0030952
대학로,4,89,0,37.5741443,127.0022947
낙산성곽서길,4,40,0,37.573281099999996,127.00825159999998
종로63가길,1,33,0,37.5757724,127.01897209999998
필운대로7길,2,27,0,37.581435600000006,126.96773700000001
율곡로10길,2,57,0,37.5737539,126.99198059999999
종로50길,1,48,0,37.5702831,127.01286259999999
자하문로10길,1,24,0,37.5795123,126.9726222
동망산길,2,32,0,37.579628,127.01707809999999
창의문로5길,2,26,0,37.588879,126.9635858
창신길,6,110,0,37.5777615,127.0097456
자하문로10길,1,14,0,37.5790563,126.9722527
자하문로17길,8,213,0,37.581422100000005,126.96970049999999
동순라길,16,90,0,37.573345,126.9971027
창신10길,3,21,0,37.5784193,127.00992409999999
경교장1길,6,52,0,37.5680667,126.9656997
계동길,4,49,0,37.5816569,126.98654609999998
홍지문2길,6,407,0,37.6013665,126.9552659
대학로7길,5,19,0,37.578804299999994,127.0018588
명륜7길,2,39,0,37.5905972,126.99543510000001
숭인동길,6,68,0,37.5785633,127.0213244
필운대로1길,4,17,0,37.577829,126.9681979
평창6길,6,950,0,37.615436100000004,126.97376640000002
숭인동길,6,78,0,37.578187,127.0222295
지봉로10길,2,33,0,37.5760404,127.01624650000001
종로65길,6,54,0,37.576446399999995,127.02007520000001
북촌로5나길,3,106,0,37.5815088,126.98193359999999
대학로,1,30,0,37.5828792,127.00163
지봉로11길,2,38,0,37.5766558,127.0142521
필운대로,2,39,0,37.5791941,126.9686392
자하문로,2,27,0,37.5775507,126.9720201
성균관로,10,45,0,37.5857076,126.9970942
대학로7길,5,26,0,37.5788652,127.00159070000001
종로,35,4189,0,37.5729235,127.0001283
보문로1길,6,69,0,37.5761414,127.02233079999999
율곡로23길,6,210,0,37.575624100000006,127.0061363
낙산성곽1길,4,235,0,37.573103700000004,127.00959340000001
세검정로,6,213,0,37.5994419,126.9563436
자하문로19길,1,20,0,37.582379700000004,126.96992859999999
창신7가길,4,116,0,37.5754151,127.0097
동숭4길,1,40,0,37.58311079999999,127.00420079999999
동숭4다길,1,44,0,37.5833687,127.0056396
명륜2길,2,51,0,37.5894048,126.99575220000001
대학로5가길,2,37,0,37.57848370000001,127.0016769
사직로1마길,6,30,0,37.5742929,126.9626005
사직로1라길,4,18,0,37.574769399999994,126.9625619
창신7길,2,38,0,37.5757626,127.0094952
창경궁로,2,34,0,37.5876919,127.0035824
종로26길,2,70,0,37.569517499999996,126.994754
대학로5길,5,42,0,37.57935820000001,127.0014429
율곡로,30,3149,0,37.5737362,126.9946018
경희궁3나길,2,22,0,37.5729652,126.9664784
계동2길,3,48,0,37.5800528,126.98746979999999
사직로,4,91,0,37.5735371,126.9651553
평창길,3,92,0,37.612059,126.964809
창덕궁길,2,15,0,37.5824013,126.9895351
북촌로12길,1,66,0,37.5825289,126.9859707
보문로1길,3,17,0,37.576246600000005,127.02275929999999
필운대로,3,30,0,37.5791381,126.9691162
명륜7길,2,9,0,37.590498,126.9947128
종로56길,3,67,0,37.572259700000004,127.01676299999998
창신6가길,2,56,0,37.5757592,127.0128483
백석동2길,3,756,0,37.5974729,126.97078570000001
성균관로5길,3,14,0,37.5865054,126.9941602
창덕궁길,4,29,0,37.583381,126.98571820000001
명륜4나길,1,12,0,37.590045700000005,126.9948409
창경궁로16길,4,83,0,37.5736963,126.9982088
인사동3길,1,12,0,37.571619399999996,126.9853405
백석동길,2,76,0,37.5977153,126.96390829999999
경희궁1가길,6,210,0,37.572503399999995,126.96912520000001
세검정로6다길,4,423,0,37.601955,126.96342560000001
율곡로,3,39,0,37.576094,127.00018940000001
종로50길,2,61,0,37.5715366,127.0127415
필운대로1길,2,32,0,37.5776564,126.96827090000001
수표로22길,6,33,0,37.5713279,126.99009579999999
낙산성곽서길,6,957,0,37.5768035,127.0080493
사직로8길,2,18,0,37.574836700000006,126.970477
평창4길,4,40,0,37.609552,126.96279340000001
종로24길,3,136,0,37.5699127,126.99412209999998
낙산성곽동길,1,49,0,37.5790905,127.00912930000001
자하문로16길,6,252,0,37.5816731,126.9723024
평창10길,7,42,0,37.6055328,126.96767179999999
통일로,19,117,0,37.5745565,126.9586142
충신길,1,9,0,37.5757889,127.0071906
대학로,3,74,0,37.5832807,127.00130130000001
종로67길,5,228,0,37.575725399999996,127.02076159999999
숭인동길,6,143,0,37.575796000000004,127.02183740000001
자하문로,2,30,0,37.581737700000005,126.97065990000002
자하문로15길,2,22,0,37.5808697,126.96958219999999
창덕궁길,7,983,0,37.5803576,126.9873101
자하문로33다길,6,251,0,37.586900299999996,126.9671639
진흥로,2,22,0,37.608115000000005,126.95576559999999
평창36길,3,53,0,37.6120308,126.97799180000001
김상옥로,10,818,0,37.5735041,127.00216529999999
북촌로9길,2,13,0,37.581114299999996,126.9844769
서순라길,1,20,0,37.5745049,126.991872
이화장길,2,113,0,37.57965,127.0051067
성균관로6길,1,9,0,37.585438,126.99767560000001
창신7길,2,25,0,37.5758244,127.00913500000001
창신7길,2,28,0,37.575840899999996,127.009722
창신4길,4,128,0,37.5736197,127.0099213
창덕궁7길,2,132,0,37.58323729999999,126.9874114
창신4나길,4,153,0,37.5742722,127.00986090000002
대학로2길,4,39,0,37.5717342,127.0054223
창신4나길,1,21,0,37.5745124,127.0095798
율곡로,6,50,0,37.57687,126.98566650000001
평창8길,2,29,0,37.6021784,126.9680838
통일로18가길,4,127,0,37.5779426,126.95940139999999
창신6길,1,11,0,37.57665479999999,127.01181840000001
창덕궁길,2,25,0,37.583240999999994,126.9866425
종로65길,6,66,0,37.5758816,127.02026359999999
북촌로15길,5,289,0,37.5856064,126.9836827
평창7길,6,104,0,37.616932299999995,126.97537679999999
대학로,3,81,0,37.5755387,127.0025145
성균관로,10,36,0,37.58460720000001,126.9971503
성균관로,10,97,0,37.5874177,126.9971019
창덕궁길,2,25,0,37.58317279999999,126.9876139
자하문로40가길,4,218,0,37.594677399999995,126.9648554
창경궁로16나길,3,150,0,37.5750896,126.99942379999999
경희궁3나길,2,15,0,37.57351729999999,126.96665300000001
북촌로,20,50,0,37.5812634,126.9853625
종로28가길,4,79,0,37.5698286,126.995899
돈화문로9가길,3,185,0,37.5720045,126.99068909999998
평창26길,9,298,0,37.611627,126.97456650000001
진흥로21길,7,181,0,37.6084561,126.9580879
계동길,3,30,0,37.5784989,126.98662009999998
평창8길,4,15,0,37.60273660000001,126.9688672
명륜5길,4,152,0,37.5904304,126.99355420000002
세검정로6가길,2,7,0,37.5999584,126.96184050000001
세검정로6가길,1,8,0,37.5998412,126.9618757
대학로5길,3,26,0,37.57841079999999,127.00110409999999
자하문로1가길,4,31,0,37.5772889,126.97168719999999
성균관로7길,8,61,0,37.5876483,126.9963202
보문로7길,4,145,0,37.577589,127.0226164
명륜7길,2,36,0,37.5904516,126.9948008
율곡로8길,1,32,0,37.5768091,126.9907909
